MotoristaID,Nome,NumeroCarteira,DataContratacao,CategoriaCarteira,Status
38,Gabriela Duarte,1942138675,2021-10-13,B,Inativo
39,Milena Pimenta,6449124583,2023-01-31,A,Suspenso
40,Sr. Davi Miguel Farias,2884510497,2023-08-04,E,Inativo
41,Marcelo Cassiano,9945850647,2022-08-06,D,Suspenso
42,Sra. Kamilly Gomes,2600070783,2023-04-06,D,Suspenso
43,Erick da Rosa,9736472155,2021-09-05,E,Inativo
44,Cecília Melo,5185222343,2023-05-25,B,Suspenso
45,Antônio Montenegro,1953939117,2021-07-07,B,Ativo
46,Maria Cirino,6794716538,2021-10-26,B,Suspenso
47,Stephany Oliveira,7973189094,2022-12-10,B,Inativo
48,Sra. Ana Vitória Caldeira,4260849046,2023-02-11,C,Inativo
49,Agatha Rodrigues,4020789744,2023-09-22,D,Ativo
50,Pietra Barros,4515389272,2022-11-15,A,Inativo
51,Oliver Lima,5418828364,2023-10-02,B,Suspenso
52,Alice Rodrigues,3774920150,2023-05-24,D,Inativo
53,Stephany Moraes,8293301251,2024-03-12,A,Suspenso
54,Sr. Bruno Freitas,3547757667,2023-04-09,D,Ativo
55,Ana Cecília da Rocha,2205330104,2023-09-16,C,Inativo
56,Cecilia da Costa,3022115568,2023-07-16,A,Ativo
57,Isabella Albuquerque,5975995434,2022-08-30,E,Suspenso
58,Yago Barros,5100581922,2023-02-12,A,Ativo
59,Arthur Gabriel Costa,1554571043,2024-01-31,D,Inativo
60,Ana Clara Moraes,6345764391,2024-01-25,C,Suspenso
61,Camila Mendes,9031695048,2021-12-04,B,Inativo
62,Maria Luiza da Paz,5123540817,2021-07-04,C,Suspenso
63,Beatriz Leão,9416391244,2021-08-01,B,Suspenso
64,Juan Duarte,7658904528,2023-08-12,E,Suspenso
65,Agatha Guerra,7060517699,2022-04-11,D,Suspenso
66,Jade Ferreira,5705638293,2022-07-13,C,Ativo
67,Dr. Davi Miguel Pimenta,7608588612,2022-03-12,E,Inativo
68,Davi Lucas Jesus,1580443989,2021-07-13,D,Suspenso
69,Henry Gabriel Sousa,7084885211,2023-05-14,E,Suspenso
70,Maria Helena Moura,6704821647,2022-02-04,A,Ativo
71,Dra. Bárbara Andrade,4508118338,2022-05-07,E,Ativo
72,Vitor Hugo Souza,8247463932,2023-08-02,E,Suspenso
73,Lucas da Mata,1431127560,2022-01-20,C,Suspenso
74,Clara Camargo,5730420020,2023-08-27,C,Suspenso
75,Davi Lucas Nogueira,7538683323,2022-02-14,C,Inativo
76,Sara Sales,6321538806,2022-10-15,E,Suspenso
77,Samuel Rios,6387090245,2021-09-27,B,Ativo
78,João Pedro Viana,9513337170,2022-04-24,E,Inativo
79,Yuri Lima,9104211606,2022-08-01,B,Ativo
80,Sra. Liz Oliveira,1348189017,2022-06-16,D,Inativo
81,Liz Rodrigues,8438714546,2023-12-30,D,Suspenso
82,Ester Casa Grande,1682040605,2021-06-23,D,Inativo
83,Maria Liz Cassiano,1581258082,2021-08-08,E,Ativo
84,Antonella Abreu,9504631301,2021-07-11,D,Inativo
85,Bella Silva,4776407446,2024-05-01,A,Ativo
86,Gabriela Castro,0558115531,2023-01-20,A,Suspenso
87,Kaique Mendes,3253197815,2022-01-24,D,Inativo
88,Dra. Cecilia Pimenta,0869346535,2021-08-06,C,Inativo
89,Dra. Melina Silva,6828682094,2022-06-28,A,Ativo
90,Alexandre Vieira,0853970688,2021-06-10,E,Ativo
91,Dante Andrade,0443457995,2023-02-18,B,Inativo
92,Milena Garcia,5172752334,2023-03-11,D,Ativo
93,Júlia Souza,5005083499,2024-02-13,A,Suspenso
94,Emanuel das Neves,5715407717,2021-06-15,D,Suspenso
95,Maria Eduarda Novaes,1481995805,2022-04-21,E,Inativo
96,Juan Dias,0791673785,2023-11-30,E,Inativo
97,Pedro Freitas,2757893187,2021-09-26,C,Suspenso
98,Dr. Theodoro Rocha,0165577797,2023-12-24,C,Inativo
99,Benjamin Pires,9947611934,2024-02-16,A,Suspenso
100,Pietra Gonçalves,9582849819,2024-03-25,E,Inativo
101,Maria Flor Vieira,6766514511,2022-08-09,C,Suspenso
102,Gael Henrique Vieira,0371794500,2021-09-26,B,Suspenso
103,Danilo Gonçalves,0321963384,2021-10-23,C,Suspenso
104,Ágatha Lopes,3838110513,2022-07-10,C,Suspenso
105,Rael Rios,3609346538,2023-09-20,C,Suspenso
106,Thomas Novaes,7719867127,2022-11-06,A,Suspenso
107,Kevin Gonçalves,6757790938,2023-09-08,B,Ativo
108,Isaac Garcia,8533269484,2021-12-06,B,Ativo
109,Bárbara Ferreira,3870232657,2022-08-08,C,Inativo
110,André da Mota,3595495602,2022-12-16,E,Inativo
111,Dra. Olivia Pires,6616249404,2024-01-09,C,Inativo
112,Rebeca Cunha,8784459663,2022-08-08,B,Ativo
113,Sr. Arthur Nogueira,0033254903,2023-05-06,C,Ativo
114,Pedro Lucas Macedo,2939260969,2022-06-30,E,Inativo
115,Lorena da Conceição,4964747766,2021-11-05,D,Ativo
116,Catarina da Cruz,7019182118,2024-05-25,D,Inativo
117,Sophia Mendes,5963688454,2023-04-28,D,Inativo
118,Ana Vitória da Costa,9732826460,2022-12-10,C,Ativo
119,Emilly Santos,2605623064,2024-01-28,E,Suspenso
120,Luiz Miguel Moura,6867138117,2023-04-01,A,Inativo
121,Natália Caldeira,5349325829,2022-12-02,B,Ativo
122,Oliver Gonçalves,2065569599,2023-10-30,C,Suspenso
123,João Miguel Fogaça,5386844532,2023-09-01,B,Ativo
124,Maria Vitória Leão,6182919523,2022-06-27,C,Ativo
125,Isabela Lopes,6411421908,2022-10-09,B,Suspenso
126,Milena Machado,7432442848,2022-05-03,A,Suspenso
127,José Pedro Aparecida,0681832521,2021-07-07,D,Suspenso
128,Sra. Luiza Nogueira,0018715533,2022-07-07,A,Inativo
129,Antony da Cunha,2941060849,2022-04-01,B,Inativo
130,Dr. Apollo Abreu,1190777654,2023-03-04,E,Ativo
131,Vinicius da Mota,0598949912,2021-11-29,D,Ativo
132,Henrique Casa Grande,7662638686,2022-05-09,A,Inativo
133,Stella Ribeiro,8519953395,2023-04-27,E,Ativo
134,Natália Carvalho,9985617447,2022-07-07,E,Suspenso
135,Sra. Allana da Mota,9512432857,2023-08-15,C,Ativo
136,Lucas Pimenta,2880374246,2024-02-20,A,Ativo
137,Maria Clara Martins,8783346964,2021-10-28,E,Ativo
138,Samuel Vasconcelos,2418445762,2023-04-07,A,Ativo
139,Mateus Alves,2004455241,2021-09-03,B,Inativo
140,Maria Alice Montenegro,0532723478,2022-02-01,D,Suspenso
141,Lucas Araújo,3834258244,2023-08-28,C,Suspenso
142,Vitor Gabriel da Mota,1439283507,2022-06-18,E,Ativo
143,Amanda Costela,0936277966,2023-09-17,C,Inativo
144,Sra. Fernanda Pires,3149279774,2022-03-01,E,Suspenso
145,Juan Cirino,8507149318,2023-03-08,A,Suspenso
146,Stella Correia,5638954113,2022-07-06,E,Inativo
147,Bruna Fogaça,6471780979,2022-08-24,B,Ativo
148,Vitória Mendonça,3480019554,2023-05-27,B,Inativo
149,Ana Carolina Ferreira,1417864073,2022-11-15,B,Inativo
150,Isabella Carvalho,7617930120,2022-07-22,D,Ativo
151,Luana Carvalho,3390303844,2021-07-21,B,Inativo
152,Brenda Moura,5133368976,2023-02-19,C,Inativo
153,Dra. Maitê Gonçalves,8904363898,2024-04-23,D,Suspenso
154,Luiz Gustavo Albuquerque,2318488571,2024-03-01,D,Inativo
155,Maria Cecília Pacheco,2729695666,2024-03-03,B,Suspenso
156,Emanuel Lima,5978369914,2023-09-21,D,Suspenso
157,Noah Barbosa,0813535720,2024-04-26,E,Ativo
158,Léo Sales,3402590159,2024-05-04,A,Suspenso
159,Sra. Milena Borges,9874524125,2021-06-11,A,Ativo
160,Theo Peixoto,1977735526,2022-11-27,A,Suspenso
161,Antonella Cassiano,1377924594,2022-06-13,C,Inativo
162,Anthony Gabriel Abreu,9939827214,2023-07-04,E,Inativo
163,Luiz Miguel Sá,1701052596,2021-07-25,A,Inativo
164,Bella Casa Grande,2842912641,2024-01-12,D,Inativo
165,Samuel Cardoso,2859617413,2022-02-06,A,Suspenso
166,Ravy Ribeiro,9690009695,2023-12-06,E,Suspenso
167,André Fogaça,2008595486,2023-03-24,E,Suspenso
168,Kamilly da Mota,7326294835,2024-05-18,E,Inativo
169,Luana Castro,5510792010,2023-12-21,C,Inativo
170,Pedro Miguel Macedo,7306766598,2021-11-08,A,Ativo
171,Srta. Aurora Lima,4092384647,2024-06-04,E,Inativo
172,Daniela Moreira,3311968191,2023-03-16,E,Inativo
173,Sr. Bryan da Paz,9396668315,2021-07-10,B,Ativo
174,Vicente Mendonça,5949623892,2023-11-11,A,Suspenso
175,Mariana da Conceição,8825059952,2022-01-21,A,Inativo
176,Lucas Ferreira,2262971302,2022-10-07,D,Inativo
177,Carolina Vieira,7284164741,2023-02-25,D,Suspenso
178,Thiago Garcia,8244627860,2023-05-28,A,Ativo
179,Natália Peixoto,5248031902,2023-02-26,A,Inativo
180,Nathan Monteiro,5255122807,2024-05-17,B,Inativo
181,Arthur Ferreira,4154975508,2022-12-12,A,Ativo
182,Dr. Yuri Cunha,0338100975,2024-05-02,A,Suspenso
183,Maria Flor da Mota,7445192653,2021-07-27,E,Suspenso
184,Sophia Mendonça,0539819639,2024-03-21,C,Inativo
185,Ravi Melo,5567111340,2023-06-11,C,Ativo
186,Brayan Nunes,3637914847,2024-01-28,A,Suspenso
187,Dr. Bryan da Mata,5812079585,2023-12-08,C,Inativo
188,Maria Helena Alves,6293174761,2023-02-27,E,Inativo
189,Maria Julia Pastor,2369509945,2022-11-07,A,Ativo
190,Gabrielly Aparecida,8606486071,2024-02-09,A,Ativo
191,Emilly da Cruz,5297624817,2021-08-19,E,Ativo
192,Dr. Rael Costela,6410543707,2023-08-12,A,Ativo
193,Vinícius Barros,2973308291,2024-04-26,B,Suspenso
194,Ravy Pastor,3096411358,2024-03-19,B,Ativo
195,José Miguel Rodrigues,4988469508,2024-02-08,C,Inativo
196,Camila Rios,8222382843,2021-12-16,B,Suspenso
197,Dr. Murilo Farias,8193411450,2023-09-06,C,Suspenso
198,Sr. Nathan Freitas,3045828378,2022-03-06,C,Ativo
199,Olívia Casa Grande,2750073406,2023-02-02,D,Inativo
200,Kaique Cardoso,3815746778,2022-12-20,C,Ativo
201,Hadassa Cavalcanti,9020387147,2023-04-06,E,Inativo
202,Maria Laura Silva,0469746708,2023-03-05,C,Inativo
203,Jade Cardoso,6126535835,2023-07-13,A,Inativo
204,Dra. Letícia Silva,1496949940,2021-07-30,C,Ativo
205,Maria Flor da Luz,1676669323,2023-07-05,D,Suspenso
206,Lara Porto,0296395598,2021-06-21,D,Suspenso
207,Luiz Felipe Costa,9813375560,2022-11-26,D,Ativo
208,Bruno Gomes,4300112157,2021-09-10,A,Ativo
209,Enzo Gabriel Pimenta,1326418541,2021-11-17,B,Ativo
210,Ana Laura Pereira,0346020776,2023-09-11,D,Inativo
211,Clara Machado,8867912456,2021-08-15,D,Inativo
212,Maria Eduarda Vargas,5898925945,2021-08-22,A,Ativo
213,Pietra Rodrigues,2520860104,2022-08-24,E,Ativo
214,Lavínia Nunes,8261028914,2023-01-27,E,Suspenso
215,Vitória da Cunha,8685996468,2021-06-07,A,Suspenso
216,Isabela Nascimento,3705691499,2023-10-19,B,Ativo
217,Paulo Farias,8679708344,2021-12-02,B,Ativo
218,João Pires,4725430676,2023-09-30,C,Suspenso
219,Nicole Rodrigues,0114069725,2022-12-05,C,Inativo
220,Luiz Henrique Pereira,8924789584,2023-06-17,A,Inativo
221,Juan Jesus,7222825222,2022-05-21,E,Ativo
222,Thales Santos,0875066713,2023-12-08,E,Ativo
223,Caleb Rios,3474595835,2022-01-02,E,Inativo
224,Sr. Anthony Gabriel Cavalcante,8763900298,2022-07-18,B,Ativo
225,Maria Luísa Costela,6064147965,2021-09-29,E,Suspenso
226,Dra. Isabella Costa,8028434877,2023-12-07,E,Ativo
227,Isabela Machado,7845362736,2023-07-02,C,Inativo
228,Leandro Aragão,7870042173,2021-09-28,E,Suspenso
229,Luana da Rocha,7156716344,2023-04-20,B,Suspenso
230,Bruna Teixeira,8872780833,2022-03-18,E,Ativo
231,Thiago Mendes,6011026913,2024-02-16,C,Ativo
232,Paulo Silveira,1618979584,2022-12-08,E,Inativo
233,Diego Marques,6851478233,2023-04-24,A,Suspenso
234,Carolina Montenegro,5040587805,2023-04-28,D,Suspenso
235,Sophie Monteiro,4394851357,2021-12-04,D,Suspenso
236,Nicolas da Rocha,1645974767,2024-04-16,E,Ativo
237,Isaac Martins,9422886071,2024-03-13,B,Ativo
238,Lucca da Mata,2372216013,2023-01-21,A,Inativo
239,Pietro Castro,8792570370,2023-12-31,A,Inativo
240,Miguel Borges,0789379738,2021-12-23,C,Suspenso
241,Maria Alice Pereira,4171598538,2023-05-27,A,Inativo
242,Rhavi Freitas,4356038124,2021-09-07,D,Inativo
243,Isis Brito,8367693604,2024-04-23,E,Inativo
244,Sr. Yago da Rocha,8552551234,2023-08-17,B,Suspenso
245,Sr. Gustavo Henrique Machado,6443197960,2023-06-08,A,Suspenso
246,Dr. Otto Rios,0917196961,2021-12-31,A,Suspenso
247,João Guilherme Montenegro,1891373680,2023-11-12,E,Suspenso
248,Asafe Nogueira,7039837874,2021-09-22,C,Suspenso
249,José da Luz,1121438794,2022-10-29,E,Suspenso
250,Alexandre Gonçalves,1905861001,2023-01-16,C,Suspenso
251,Marcelo Campos,0610455966,2023-04-26,C,Suspenso
252,Juliana Cavalcanti,0202719173,2023-05-07,B,Suspenso
253,Diogo Duarte,9388911310,2021-08-09,E,Inativo
254,Lívia Nunes,1658675227,2022-05-02,C,Inativo
255,Olivia Pastor,1760601292,2022-03-29,B,Inativo
256,Henrique Câmara,6768137767,2024-05-12,B,Inativo
257,Nicole Pacheco,4056125474,2021-09-25,D,Inativo
258,Bruno Gonçalves,0968136387,2023-08-08,B,Suspenso
259,Luiz Fernando Duarte,3192095296,2021-11-13,A,Suspenso
260,Sra. Bella Lima,4018440047,2023-01-21,E,Inativo
261,Dr. Benício Teixeira,6682509035,2023-05-14,C,Ativo
262,Matteo Ferreira,3794344261,2023-05-08,D,Ativo
263,Amanda Rocha,3765645164,2023-08-21,D,Suspenso
264,Dr. Francisco Oliveira,4490036812,2023-04-15,D,Ativo
265,Dr. Gustavo Pires,6587701222,2021-08-02,B,Ativo
266,Ana Cecília Sousa,0046753252,2022-07-24,A,Inativo
267,Lorenzo Pacheco,5880550933,2022-11-05,E,Ativo
268,Davi Pacheco,1451045794,2022-11-18,A,Inativo
269,Dra. Maria Laura Albuquerque,1841867908,2021-12-29,A,Suspenso
270,Manuela Barbosa,6176211484,2022-04-27,C,Ativo
271,Sra. Valentina Silveira,3919783947,2024-02-18,D,Inativo
272,Kevin Rios,2551757861,2022-05-13,E,Inativo
273,Miguel Souza,3863358204,2021-11-12,D,Ativo
274,Sra. Hadassa Montenegro,2246860895,2022-10-10,C,Suspenso
275,Luiza Moreira,0288525655,2022-01-11,A,Suspenso
276,Sra. Caroline Nascimento,9598516478,2022-07-07,D,Suspenso
277,Otávio Novaes,0092072299,2024-05-07,D,Ativo
278,Maria Luiza Monteiro,1366752542,2024-02-25,D,Ativo
279,Maria Clara da Rocha,4529265237,2024-02-01,E,Ativo
280,Maria Sophia Santos,9448638216,2022-05-04,D,Ativo
281,Ana Beatriz Silva,1850896656,2023-06-28,E,Suspenso
282,Bruna Teixeira,5313959480,2023-12-18,C,Ativo
283,Maria Gomes,6049872591,2023-10-21,C,Inativo
284,Anthony Gabriel Castro,7092804249,2022-07-21,C,Suspenso
285,Ana Carolina Sampaio,8115612651,2024-05-15,A,Ativo
286,Dra. Heloísa Mendonça,2690881441,2024-02-14,C,Ativo
287,Yuri Andrade,4210707152,2022-01-22,D,Suspenso
288,Anthony Campos,6973658543,2022-12-23,C,Inativo
289,Mariana da Paz,5981775984,2024-02-16,D,Suspenso
290,Yuri Moraes,8332934946,2024-03-22,D,Ativo
291,Sr. Matteo Casa Grande,7368500875,2023-08-31,B,Suspenso
292,Valentim Fernandes,1226114043,2023-12-28,B,Suspenso
293,Sra. Luana Montenegro,9642016662,2023-08-20,B,Inativo
294,Júlia Gomes,3013856146,2022-07-24,A,Suspenso
295,Mathias Vargas,8506771537,2023-05-17,C,Suspenso
296,Erick da Rocha,9941632836,2023-09-15,C,Ativo
297,Sr. Samuel Correia,9575088773,2023-07-04,C,Inativo
298,Srta. Maitê Teixeira,9732106479,2024-05-14,D,Suspenso
299,Sra. Beatriz Dias,6995192998,2023-02-14,E,Ativo
300,Dr. Bryan Viana,2357860338,2024-04-03,C,Ativo
301,Ana Carolina Borges,2642280344,2023-05-19,A,Inativo
302,Davi Miguel Costela,4631502885,2022-04-16,B,Inativo
303,Maitê Alves,2416205939,2024-03-28,A,Inativo
304,Luiz Miguel Silva,3539930742,2021-09-19,C,Inativo
305,Isaac da Luz,3847737380,2022-08-15,A,Ativo
306,Beatriz Rocha,2097424697,2023-08-15,C,Inativo
307,Igor Mendes,3010660671,2021-11-29,E,Inativo
308,Eloá Fernandes,1146595899,2024-02-23,D,Suspenso
309,Catarina da Rocha,7301140147,2023-04-04,E,Suspenso
310,Dr. Théo Correia,7947824040,2023-11-18,D,Inativo
311,Erick Rezende,0489887221,2021-07-02,D,Inativo
312,Nicolas Leão,1805209890,2023-08-13,B,Ativo
313,Diogo Castro,0887903397,2023-12-03,D,Ativo
314,Kaique Lima,4158932519,2023-06-06,D,Suspenso
315,Rafael Oliveira,2710292853,2023-10-19,B,Ativo
316,Vitor Gabriel da Cruz,8816543008,2024-05-16,B,Suspenso
317,Vitor Hugo Dias,8417294677,2021-06-16,A,Suspenso
318,Rafaela Martins,5573964425,2023-04-25,D,Inativo
319,Benjamim Cunha,9476803656,2023-05-02,C,Ativo
320,Daniela Souza,2431285101,2022-12-09,B,Suspenso
321,Marcelo Albuquerque,1472555999,2021-10-31,D,Inativo
322,Benjamim Leão,4479947099,2022-03-29,C,Ativo
323,Sabrina Leão,5419054635,2023-09-19,C,Inativo
324,Thales Monteiro,8672145724,2023-01-25,C,Ativo
325,Gustavo Rocha,9028659553,2024-05-18,C,Inativo
326,Erick Casa Grande,7028891587,2023-11-28,D,Inativo
327,Sr. Davi Lucca Caldeira,1121442875,2024-05-30,E,Inativo
328,Jade Guerra,9521620184,2021-11-09,C,Suspenso
329,Cauê Câmara,3046158237,2022-09-07,D,Inativo
330,Calebe Araújo,2545907751,2024-01-16,E,Suspenso
331,Stephany Araújo,0205692477,2022-09-13,D,Inativo
332,Srta. Isabel Ribeiro,1799688338,2022-09-06,B,Ativo
333,Arthur Miguel Gomes,8879655544,2024-01-01,E,Inativo
334,Theo Fogaça,4048576809,2024-01-29,A,Ativo
335,Maysa Rios,3582090874,2021-12-31,C,Suspenso
336,João Guilherme Câmara,0636830669,2022-10-10,C,Suspenso
337,Marcos Vinicius Novaes,3367402298,2023-07-24,A,Suspenso
338,Maria Alice Andrade,3523279572,2023-02-21,B,Inativo
339,Dr. Yan Aragão,8038330066,2024-02-13,D,Suspenso
340,Sra. Marcela Cunha,2307965186,2022-12-04,E,Inativo
341,Pedro Miguel Pereira,7505392980,2022-01-06,A,Ativo
342,Henrique Borges,7743049755,2021-08-28,C,Suspenso
343,Maria Eduarda Novaes,7124773077,2024-01-18,A,Ativo
344,Gael Henrique Santos,0389825112,2024-03-16,E,Ativo
345,Miguel Castro,6713542783,2022-12-23,D,Ativo
346,João Lucas Martins,7887534744,2024-03-07,D,Ativo
347,Bernardo da Conceição,2928810521,2022-02-15,C,Inativo
348,Raquel Porto,9897821181,2023-09-19,E,Ativo
349,Luiz Felipe Leão,4884290451,2022-10-10,E,Ativo
350,Lucas Ribeiro,7094951870,2021-07-14,D,Ativo
351,Melina Barros,7325613710,2021-12-22,E,Ativo
352,Brenda Borges,9623387391,2022-04-22,C,Inativo
353,Sabrina Costela,4473934799,2023-11-17,C,Inativo
354,Luiz Henrique da Paz,1047492731,2022-05-10,E,Ativo
355,Srta. Luna Sampaio,8596084060,2022-05-07,A,Suspenso
356,Dr. Emanuel Oliveira,5900885752,2021-11-17,C,Inativo
357,Daniela Correia,6888671100,2023-09-09,C,Suspenso
358,Clara Albuquerque,9689773605,2022-11-25,A,Suspenso
359,Benjamim Marques,4335758240,2022-05-23,A,Suspenso
360,Ana Luiza Campos,9975474885,2022-11-20,E,Suspenso
361,Sra. Isabela da Costa,9115670842,2021-06-16,A,Ativo
362,Francisco Fonseca,7656859464,2024-01-30,E,Suspenso
363,Larissa Costela,7763807800,2024-03-06,D,Suspenso
364,Maria Laura Mendonça,5440695187,2022-12-14,B,Ativo
365,Danilo Borges,6258068879,2022-10-14,E,Inativo
366,Pedro da Cunha,1778066875,2022-03-24,C,Suspenso
367,Sofia Câmara,9612450969,2023-11-20,A,Inativo
368,Matheus Vargas,2628137593,2022-06-17,B,Ativo
369,Srta. Jade Vargas,1356031999,2024-01-28,C,Suspenso
370,Arthur Miguel Pinto,8600328584,2024-01-20,A,Ativo
371,Eloá Freitas,5819392748,2023-01-30,C,Suspenso
372,Rafael da Cunha,2535337650,2022-11-27,E,Suspenso
373,Fernando Sampaio,5658374026,2021-09-15,D,Ativo
374,Sr. Arthur Gabriel Santos,4609489850,2022-10-29,D,Ativo
375,Rebeca Costela,7679758514,2021-09-02,D,Inativo
376,Maria Fernanda Ribeiro,4826833813,2023-12-01,E,Ativo
377,Gabriel Fogaça,9657241882,2022-02-16,E,Inativo
378,Enzo Novaes,5399468235,2022-03-22,A,Suspenso
379,Vitor Gabriel da Mota,8326593016,2022-09-02,D,Ativo
380,Ana Vitória da Cunha,1894384351,2022-06-06,B,Ativo
381,Dr. Guilherme da Luz,0736892394,2022-04-30,C,Inativo
382,Alexandre Almeida,5141557388,2022-05-11,D,Ativo
383,Maria Fernanda Carvalho,7366116584,2021-07-04,A,Suspenso
384,Dr. Igor Pires,2695171917,2022-11-10,B,Suspenso
385,Luan da Luz,0844264417,2021-08-08,E,Ativo
386,Aurora Correia,2554516327,2023-04-28,A,Ativo
387,Thales Vieira,5847018252,2021-12-26,D,Inativo
388,Sr. Gael Henrique da Cunha,2906635183,2021-10-26,B,Suspenso
389,Anna Liz Cassiano,8451700266,2021-07-17,E,Suspenso
390,Pedro Miguel Dias,4634381743,2024-03-05,E,Suspenso
391,Nicolas Carvalho,5411939450,2023-04-13,A,Ativo
392,Paulo Martins,2201293339,2023-03-16,E,Suspenso
393,Gustavo Henrique Jesus,7266843693,2023-05-08,A,Suspenso
394,Gabriela Costa,1983065777,2023-08-13,A,Suspenso
395,Dr. Gael Rios,5552546053,2024-04-30,B,Ativo
396,Ana Liz Câmara,8996292533,2021-11-01,E,Inativo
397,Ana Vitória Azevedo,2652186849,2024-06-04,E,Inativo
398,Srta. Bella Garcia,1003888214,2023-10-27,E,Suspenso
399,Júlia Carvalho,6997765776,2023-05-22,C,Ativo
400,Emanuelly Nunes,3069160490,2024-05-18,B,Ativo
401,Ana Lívia das Neves,9535328452,2023-02-21,C,Inativo
402,Alexandre Correia,3569054000,2022-01-15,B,Suspenso
403,Sra. Jade Cardoso,0498201086,2022-06-29,E,Suspenso
404,Otto Fogaça,5295331119,2023-09-22,C,Suspenso
405,Benício Ramos,7590258619,2021-12-24,D,Inativo
406,Heloisa Pimenta,4622470698,2024-05-24,D,Inativo
407,Davi Lucca Lima,2497481898,2021-11-20,B,Inativo
408,Dra. Rafaela Caldeira,8763375765,2023-01-01,A,Suspenso
409,Pedro Miguel Montenegro,1828779328,2022-08-10,C,Inativo
410,Emanuelly Santos,5106226480,2023-09-16,C,Ativo
411,Heloisa Cardoso,0972614567,2021-11-03,A,Suspenso
412,Cecilia Barbosa,7893297480,2022-12-07,C,Suspenso
413,Pedro Lopes,4128645034,2023-12-01,C,Ativo
414,Vitor Rocha,3024260940,2024-02-04,E,Ativo
415,Brenda Jesus,5990916432,2023-03-27,C,Ativo
416,Kevin Sousa,5452064131,2024-05-18,C,Inativo
417,Arthur Oliveira,5717628944,2023-08-04,E,Ativo
418,Maria Cecília Costa,8878834352,2021-06-23,C,Suspenso
419,Sr. Theodoro Correia,7182952784,2024-05-04,E,Suspenso
420,Sophia Fogaça,1192486031,2021-10-13,A,Suspenso
421,Srta. Rebeca Rezende,0311832779,2022-10-05,D,Suspenso
422,Maria Luiza Camargo,2922936026,2022-04-16,D,Ativo
423,Felipe Jesus,5094813058,2022-03-30,B,Inativo
424,Gabrielly Oliveira,1307225935,2021-08-03,C,Inativo
425,Esther Dias,2876131828,2023-06-08,E,Suspenso
426,Jade Sales,1918177807,2021-06-19,C,Suspenso
427,Dr. Luiz Otávio Pimenta,1490744469,2023-06-02,C,Ativo
428,Luana Jesus,5154161550,2022-12-30,A,Suspenso
429,Ana Cecília Moraes,3876744103,2022-06-06,E,Suspenso
430,Murilo Monteiro,6573676811,2023-12-01,B,Suspenso
431,Sra. Maria Liz Sales,4153040288,2024-01-20,A,Ativo
432,Nicole Albuquerque,7575340140,2024-05-11,A,Inativo
433,Anna Liz Nascimento,7897375927,2022-09-09,C,Ativo
434,Joana Oliveira,3379185852,2024-03-26,B,Suspenso
435,Clara da Rocha,5140856908,2023-03-19,E,Suspenso
436,Dr. Daniel Aragão,4692669572,2022-10-20,C,Suspenso
